city,state,metro,county,zhvi,zhvi_yoy_pct,zori,zori_yoy_pct,annual_rent,rent_to_price_pct,price_to_rent,gross_yield_pct,est_cap_rate_pct,tier,pop_2024,pop_growth_pct,county_pop_2024,county_pop_growth_pct,net_mig_rate_per1k,vacancy_rate_pct,rental_vacancy_pct,renter_pct,down_payment,loan_amount,monthly_mortgage,monthly_cash_flow,annual_cash_flow,cash_on_cash_pct,break_even_rent,yield_spread_pct,one_pct_rule,two_pct_rule,investment_score,hidden_gem,zhvi_date,zori_date
Howell,MI,"Detroit-Warren-Dearborn, MI",Livingston County,370633.8206969371,3.94,1990.188888888889,2.78,23882.26666666667,0.537,15.5,6.44,4.19,Moderate,9914,-1.56,196976,1.54,1.07,4.78,4.45,13.38,92658.45517423427,277975.3655227028,1896.2820079953713,-603,-7236,-6.97,2917,-0.81,FALSE,FALSE,53.4,FALSE,2026-02-28,2026-02-28
Niles,MI,"Niles, MI",Berrien County,200032.30343040996,3.68,1075.5555555555557,NA,12906.666666666668,0.538,15.5,6.45,4.19,Moderate,11738,-1.92,152703,-1.12,3.53,17.47,4.15,27.24,50008.07585760249,150024.22757280746,1023.429694839211,-324,-3888,-6.94,1575,-0.8,FALSE,FALSE,43.6,FALSE,2026-02-28,2026-02-28
Lansdowne,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,270163.67856105143,0.27,1450.5555555555554,NA,17406.666666666664,0.537,15.5,6.44,4.19,Moderate,11225,1.27,584882,1.45,5.58,5.55,4.21,30.36,67540.91964026286,202622.7589207886,1382.2443993530576,-439,-5268,-6.96,2127,-0.81,FALSE,FALSE,55.4,FALSE,2026-02-28,2026-02-28
Braselton,GA,"Jefferson, GA",Jackson County,444515.58798538335,-0.75,2386.6666666666665,0.66,28640,0.537,15.5,6.44,4.19,Moderate,17390,27.73,93825,22.26,52.1,8.21,1.14,20.21,111128.89699634584,333386.6909890375,2274.2849267914416,-723,-8676,-6.97,3499,-0.81,FALSE,FALSE,69.3,FALSE,2026-02-28,2026-02-28
Oak Grove,KY,"Clarksville, TN-KY",Christian County,210195.2793738863,1.05,1129.5899470899471,0.14,13555.079365079366,0.537,15.5,6.45,4.19,Moderate,7973,0.48,71006,-2.39,-8.8,12.39,5.9,47.83,52548.819843471574,157646.45953041472,1075.4267532648703,-341,-4092,-6.95,1655,-0.8,FALSE,FALSE,41.5,FALSE,2026-02-28,2026-02-28
Copperas Cove,TX,"Killeen-Temple, TX",Coryell County,222771.7689655184,-0.2,1194.3663492063492,-0.83,14332.39619047619,0.536,15.5,6.43,4.18,Moderate,39627,7.88,86370,3.9,4.84,10.56,1.81,40.64,55692.9422413796,167078.8267241388,1139.7721249082579,-363,-4356,-6.98,1753,-0.82,FALSE,FALSE,55.3,FALSE,2026-02-28,2026-02-28
Inman,SC,"Spartanburg, SC",Spartanburg County,300422.7978219896,2.7,1608.488888888889,2.58,19301.86666666667,0.535,15.6,6.42,4.18,Moderate,3354,11.8,369256,12.1,27.18,8.85,6.12,27.07,75105.6994554974,225317.0983664922,1537.0597999670833,-492,-5904,-7.02,2365,-0.83,FALSE,FALSE,71.9,FALSE,2026-02-28,2026-02-28
Winterville,NC,"Greenville, NC",Pitt County,276143.34157604905,1.72,1480.3968253968253,1.9,17764.761904761905,0.536,15.5,6.43,4.18,Moderate,10899,3.7,180783,4.11,7.69,10.11,4.16,49.07,69035.83539401226,207107.50618203677,1412.8382813897624,-451,-5412,-7,2174,-0.82,FALSE,FALSE,58.5,FALSE,2026-02-28,2026-02-28
Auburn,ME,"Lewiston-Auburn, ME",Androscoggin County,311960.67387428443,1.22,1673.3333333333333,3.44,20080,0.536,15.5,6.44,4.18,Moderate,25200,4.63,115272,3.68,8.08,7.11,1.58,32.64,77990.16846857111,233970.50540571334,1596.0912902053626,-508,-6096,-6.98,2456,-0.81,FALSE,FALSE,62.6,FALSE,2026-02-28,2026-02-28
The Crossings,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,499616.8163106523,-3.83,2680.555555555555,-0.73,32166.666666666664,0.537,15.5,6.44,4.18,Moderate,NA,NA,2838461,5.29,19.88,11.11,5.36,47.81,124904.20407766307,374712.6122329892,2556.200559032382,-814,-9768,-6.98,3933,-0.81,FALSE,FALSE,57.1,FALSE,2026-02-28,2026-02-28
Saraland,AL,"Mobile, AL",Mobile County,233437.36055700705,0.19,1252,NA,15024,0.536,15.5,6.44,4.18,Moderate,16458,1.35,412339,-0.5,0.6,13.43,4.82,35.13,58359.34013925176,175078.0204177553,1194.34072688186,-381,-4572,-6.99,1837,-0.81,FALSE,FALSE,42.6,FALSE,2026-02-28,2026-02-28
Meridianville,AL,"Huntsville, AL",Madison County,329556.8455819588,0.67,1767.3055555555557,-2.48,21207.666666666668,0.536,15.5,6.44,4.18,Moderate,NA,NA,423355,8.41,20.5,7.01,5.85,31.22,82389.2113954897,247167.63418646913,1686.1189723961472,-537,-6444,-6.98,2594,-0.81,FALSE,FALSE,69.3,FALSE,2026-02-28,2026-02-28
Altamonte Springs,FL,"Orlando-Kissimmee-Sanford, FL",Seminole County,291753.7413019548,-4.44,1559.7525031762111,-1.09,18717.030038114535,0.535,15.6,6.42,4.17,Moderate,47261,2.36,494605,4.91,9.63,5.97,6.62,34.24,72938.4353254887,218815.3059764661,1492.7061145038267,-479,-5748,-7.04,2296,-0.83,FALSE,FALSE,55.1,FALSE,2026-02-28,2026-02-28
Burlington,NC,"Burlington, NC",Alamance County,251856.71955436343,0.49,1347.6200854700855,3.82,16171.441025641026,0.535,15.6,6.42,4.17,Moderate,61365,6.63,183040,6.65,19.2,9.3,5.47,34.39,62964.17988859086,188892.53966577258,1288.5801003956308,-413,-4956,-7.03,1982,-0.83,FALSE,FALSE,64.7,FALSE,2026-02-28,2026-02-28
Beavercreek,OH,"Dayton-Kettering, OH",Greene County,325927.63915279164,2.26,1744.1714285714286,2.3,20930.057142857146,0.535,15.6,6.42,4.17,Moderate,48012,3,172347,2.51,11.6,6.18,4.42,32.42,81481.90978819791,244445.72936459375,1667.5507833356075,-534,-6408,-7.02,2565,-0.83,FALSE,FALSE,66.1,FALSE,2026-02-28,2026-02-28
Brownsburg,IN,"Indianapolis-Carmel-Anderson, IN",Hendricks County,352931.1969019917,0.73,1886.4642857142856,4.51,22637.571428571428,0.535,15.6,6.41,4.17,Moderate,33430,14.61,190629,8.55,15.38,3.79,5.03,22.15,88232.79922549792,264698.39767649374,1805.7096826378456,-580,-6960,-7.04,2778,-0.84,FALSE,FALSE,75.7,FALSE,2026-02-28,2026-02-28
West Melbourne,FL,"Palm Bay-Melbourne-Titusville, FL",Brevard County,369999.77162069874,-3.72,1976.529419703104,2.02,23718.35303643725,0.534,15.6,6.41,4.17,Moderate,31378,18.06,658447,8.16,22.48,14.46,11.39,23.08,92499.94290517468,277499.82871552405,1893.0380086938612,-608,-7296,-7.04,2912,-0.84,FALSE,FALSE,59.5,FALSE,2026-02-28,2026-02-28
Hartford,VT,"Lebanon, NH-VT",Windsor County,408662.44693490333,5.33,2185.555555555555,NA,26226.666666666664,0.535,15.6,6.42,4.17,Moderate,NA,NA,57697,-0.07,-1.25,28.47,5.85,25.15,102165.61173372583,306496.8352011775,2090.848708865344,-670,-8040,-7.03,3217,-0.83,FALSE,FALSE,44.1,FALSE,2026-02-28,2026-02-28
Belville,NC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,327134.2183472109,-0.9,1750.5,NA,21006,0.535,15.6,6.42,4.17,Moderate,3255,36.65,167112,20.95,48.26,31.43,24.54,16.16,81783.55458680273,245350.66376040818,1673.7240311339235,-536,-6432,-7.02,2575,-0.83,FALSE,FALSE,62.7,FALSE,2026-02-28,2026-02-28
Tampa,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,369078.8169026745,-3.93,1968.439069409764,-1.07,23621.26883291717,0.533,15.6,6.4,4.16,Moderate,414547,6.69,1581426,7.85,12.2,7.8,6.74,38.94,92269.70422566863,276809.1126770059,1888.3261077165464,-609,-7308,-7.07,2905,-0.85,FALSE,FALSE,58.8,FALSE,2026-02-28,2026-02-28
Erie,PA,"Erie, PA",Erie County,194885.131820992,5.14,1038.4872061576866,4.27,12461.84647389224,0.533,15.6,6.39,4.16,Moderate,92940,-2.04,267750,-1.1,0.32,8.26,7.34,31.66,48721.282955248,146163.84886574402,997.0951069792844,-322,-3864,-7.08,1534,-0.86,FALSE,FALSE,47.3,FALSE,2026-02-28,2026-02-28
Rio Rancho,NM,"Albuquerque, NM",Sandoval County,356585.1913117624,0.33,1902.0785714285712,3.94,22824.942857142854,0.533,15.6,6.4,4.16,Moderate,112524,7.74,157757,5.66,12.6,6.72,7.59,16.39,89146.2978279406,267438.89348382177,1824.4046949913718,-588,-7056,-7.07,2807,-0.85,FALSE,FALSE,66.2,FALSE,2026-02-28,2026-02-28
West Lafayette,IN,"Lafayette-West Lafayette, IN",Tippecanoe County,357993.16719727474,1.03,1908.8467643467643,4.75,22906.16117216117,0.533,15.6,6.4,4.16,Moderate,46338,3.75,191650,2.82,2.6,6.19,5.31,46.1,89498.29179931869,268494.87539795606,1831.6083531312793,-591,-7092,-7.08,2818,-0.85,FALSE,FALSE,57.3,FALSE,2026-02-28,2026-02-28
Little Elm,TX,"Dallas-Fort Worth-Arlington, TX",Denton County,401112.2947262539,-7.45,2138.2809394760616,0.08,25659.37127371274,0.533,15.6,6.4,4.16,Moderate,61219,29.67,1045120,14.28,23.72,4.75,5.09,34.63,100278.07368156347,300834.2210446904,2052.219698258685,-662,-7944,-7.07,3157,-0.85,FALSE,FALSE,69.3,FALSE,2026-02-28,2026-02-28
Morristown,TN,"Morristown, TN",Hamblen County,263589.0188102052,2.01,1406.111111111111,1.14,16873.333333333332,0.533,15.6,6.4,4.16,Moderate,32994,8.25,67715,4.92,19.98,7.36,5.99,31.66,65897.2547025513,197691.76410765393,1348.606322367052,-435,-5220,-7.07,2075,-0.85,FALSE,FALSE,70.9,FALSE,2026-02-28,2026-02-28
Kyle,TX,"Austin-Round Rock-Georgetown, TX",Hays County,301818.53720830387,-7.65,1610.8074494949494,0.2,19329.689393939392,0.534,15.6,6.4,4.16,Moderate,65833,41.78,292029,19.69,29.92,5.29,3.58,35.89,75454.63430207597,226363.90290622792,1544.2008522357116,-497,-5964,-7.06,2376,-0.85,FALSE,FALSE,69.1,FALSE,2026-02-28,2026-02-28
Cape Girardeau,MO,"Cape Girardeau, MO-IL",Cape Girardeau County,215152.17552189925,4.82,1147.736111111111,3.33,13772.833333333332,0.533,15.6,6.4,4.16,Moderate,40818,2.59,83658,2.24,5.31,9.33,6.31,34.05,53788.04388047481,161364.13164142444,1100.787830576443,-355,-4260,-7.07,1694,-0.85,FALSE,FALSE,59.4,FALSE,2026-02-28,2026-02-28
Cedar Falls,IA,"Waterloo-Cedar Falls, IA",Black Hawk County,257506.6574138089,3.18,1373.9751543209877,2.4,16487.701851851853,0.534,15.6,6.4,4.16,Moderate,41417,1.73,132348,0.99,6.61,8.52,6.11,34.68,64376.66435345222,193129.99306035668,1317.4870023319193,-424,-5088,-7.06,2027,-0.85,FALSE,FALSE,57.5,FALSE,2026-02-28,2026-02-28
Blythewood,SC,"Columbia, SC",Richland County,337710.5347084483,0.18,1802.388888888889,4.55,21628.666666666668,0.534,15.6,6.4,4.16,Moderate,6733,38.54,430651,3.6,10.35,10.74,5.98,39.63,84427.63367711207,253282.90103133622,1727.835872273971,-556,-6672,-7.06,2658,-0.85,FALSE,FALSE,63.3,FALSE,2026-02-28,2026-02-28
New London,CT,"Norwich-New London, CT",New London County,304013.66470376804,4.64,1622.4717948717946,1.51,19469.661538461536,0.534,15.6,6.4,4.16,Moderate,28081,4.82,NA,NA,NA,NA,NA,NA,76003.41617594201,228010.24852782604,1555.4318315539977,-501,-6012,-7.06,2393,-0.85,FALSE,FALSE,65.9,FALSE,2026-02-28,2026-02-28
Wendell,NC,"Raleigh-Cary, NC",Wake County,367019.5741115319,-2.05,1958.0428571428572,1.81,23496.51428571429,0.533,15.6,6.4,4.16,Moderate,16845,68.6,1232444,9,18.32,7.54,9.49,35.57,91754.89352788297,275264.6805836489,1877.7903583140899,-605,-7260,-7.06,2889,-0.85,FALSE,FALSE,67,FALSE,2026-02-28,2026-02-28
Taos,NM,"Taos, NM",Taos County,431553.8119483513,-1.85,2300,NA,27600,0.533,15.6,6.4,4.16,Moderate,6453,-0.6,34482,0.05,5.02,31.44,15.98,21.16,107888.45298708782,323665.35896126344,2207.9683055924615,-713,-8556,-7.08,3397,-0.85,FALSE,FALSE,37.3,FALSE,2026-02-28,2026-02-28
Aspen,CO,"Glenwood Springs, CO",Pitkin County,3362251.9451207644,4.69,17916.666666666668,34.41,215000,0.533,15.6,6.39,4.16,Moderate,6556,-6.24,16643,-4.16,-8.05,32.35,11.46,32.5,840562.9862801911,2521688.958840573,17202.36393400629,-5557,-66684,-7.08,26465,-0.86,FALSE,FALSE,36.9,FALSE,2026-02-28,2026-02-28
Pembroke Pines,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,485729.6653017605,-4.72,2581.867067067067,0.04,30982.404804804806,0.532,15.7,6.38,4.15,Moderate,179326,4.82,2037472,4.84,14.84,13.18,6.08,36.74,121432.41632544012,364297.2489763204,2485.149421413699,-807,-9684,-7.12,3823,-0.87,FALSE,FALSE,53.1,FALSE,2026-02-28,2026-02-28
Doral,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,545218.738427559,-2.83,2903.1001380066805,-0.59,34837.201656080164,0.532,15.7,6.39,4.15,Moderate,83625,9.73,2838461,5.29,19.88,11.11,5.36,47.81,136304.68460688976,408914.0538206693,2789.514680980809,-902,-10824,-7.09,4292,-0.86,FALSE,FALSE,60.1,FALSE,2026-02-28,2026-02-28
Kernersville,NC,"Winston-Salem, NC",Forsyth County,317505.6015171868,1.58,1689.7142857142856,5.69,20276.571428571428,0.532,15.7,6.39,4.15,Moderate,28760,8.21,398143,4.05,9.43,10.09,8.4,37.31,79376.4003792967,238129.2011378901,1624.4609260499815,-526,-6312,-7.1,2499,-0.86,FALSE,FALSE,62.7,FALSE,2026-02-28,2026-02-28
Apple Valley,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County,368753.0628927701,1.05,1961.7380952380952,3.27,23540.85714285714,0.532,15.7,6.38,4.15,Moderate,55272,-1.78,453156,2.89,6.72,2.73,3.92,24.65,92188.26572319253,276564.79716957756,1886.6594452763716,-612,-7344,-7.11,2903,-0.87,FALSE,FALSE,55.7,FALSE,2026-02-28,2026-02-28
Sahuarita,AZ,"Tucson, AZ",Pima County,349938.2819810777,-2.56,1863.0396825396824,3.85,22356.47619047619,0.532,15.7,6.39,4.15,Moderate,37448,9,1080149,3.34,11.47,9.34,5.65,35.19,87484.57049526942,262453.71148580825,1790.3969658832923,-579,-6948,-7.09,2754,-0.86,FALSE,FALSE,58.8,FALSE,2026-02-28,2026-02-28
New Smyrna Beach,FL,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,444226.8546258797,-2.29,2366.3484848484845,5.57,28396.181818181816,0.533,15.6,6.39,4.15,Moderate,33144,8.82,602772,8.46,21.72,14.56,6.51,27.2,111056.71365646993,333170.1409694098,2272.807673923084,-735,-8820,-7.09,3497,-0.86,FALSE,FALSE,58.6,FALSE,2026-02-28,2026-02-28
Olivehurst,CA,"Yuba City, CA",Yuba County,445058.39541341056,-3.23,2366,NA,28392,0.532,15.7,6.38,4.15,Moderate,NA,NA,87469,6.67,15.14,6.73,3.31,36.68,111264.59885335264,333793.7965600579,2277.06210443173,-739,-8868,-7.12,3503,-0.87,FALSE,FALSE,62,FALSE,2026-02-28,2026-02-28
Colonial Heights,VA,"Richmond, VA",Chesterfield County,291617.1302344774,0.33,1551.0555555555557,6.46,18612.666666666668,0.532,15.7,6.38,4.15,Moderate,18674,2.8,389793,6.69,10.05,3.91,4.88,22.7,72904.28255861935,218712.84767585807,1492.0071682801301,-484,-5808,-7.11,2295,-0.87,FALSE,FALSE,65.7,FALSE,2026-02-28,2026-02-28
Oak Ridge,TN,"Knoxville, TN",Anderson County,318284.5160095603,2.16,1691.736111111111,1.25,20300.833333333332,0.532,15.7,6.38,4.15,Moderate,34039,8.19,81449,5.33,17.2,9.84,3.36,28.95,79571.12900239008,238713.38700717024,1628.4461034816507,-529,-6348,-7.12,2505,-0.87,FALSE,FALSE,67.3,FALSE,2026-02-28,2026-02-28
South Windsor,CT,"Hartford-East Hartford-Middletown, CT",Hartford County,420135.73654268944,4.17,2234.75,4.71,26817,0.532,15.7,6.38,4.15,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,105033.93413567236,315101.8024070171,2149.5497540501956,-697,-8364,-7.11,3307,-0.87,FALSE,FALSE,60.9,FALSE,2026-02-28,2026-02-28
Willoughby,OH,"Cleveland-Elyria, OH",Lake County,235334.24354736455,3.46,1252.7083333333337,NA,15032.500000000004,0.532,15.7,6.39,4.15,Moderate,24208,1.42,232360,-0.07,4.74,5.25,2.87,24.93,58833.56088684114,176500.6826605234,1204.0457912473396,-390,-4680,-7.1,1852,-0.86,FALSE,FALSE,60.9,FALSE,2026-02-28,2026-02-28
Roscoe,IL,"Rockford, IL",Winnebago County,296358.3674879333,8.66,1575,NA,18900,0.531,15.7,6.38,4.15,Moderate,10981,0.17,283790,-0.41,5.67,7.61,5.29,34.76,74089.59187198333,222268.77561595,1516.264865223328,-493,-5916,-7.13,2333,-0.87,FALSE,FALSE,57.8,FALSE,2026-02-28,2026-02-28
Bryan,TX,"College Station-Bryan, TX",Brazos County,270010.5001847997,0.94,1431.4970362413972,1.93,17177.964434896767,0.53,15.7,6.36,4.14,Moderate,91541,8.51,249624,6.44,3.39,10.8,8.47,53.21,67502.62504619993,202507.87513859977,1381.4606894413344,-451,-5412,-7.16,2125,-0.89,FALSE,FALSE,55.4,FALSE,2026-02-28,2026-02-28
Sanford,FL,"Orlando-Kissimmee-Sanford, FL",Seminole County,339792.4400120204,-4.81,1804.29899622124,0.41,21651.58795465488,0.531,15.7,6.37,4.14,Moderate,66919,9.53,494605,4.91,9.63,5.97,6.62,34.24,84948.1100030051,254844.3300090153,1738.4875703896216,-566,-6792,-7.14,2675,-0.88,FALSE,FALSE,60.6,FALSE,2026-02-28,2026-02-28
Miami Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,518750.2943653949,-4.44,2755.8703993702875,-0.34,33070.44479244345,0.531,15.7,6.38,4.14,Moderate,83251,0.94,2838461,5.29,19.88,11.11,5.36,47.81,129687.57359134873,389062.7207740462,2654.0935956617905,-863,-10356,-7.13,4083,-0.87,FALSE,FALSE,49.5,FALSE,2026-02-28,2026-02-28
Orange Park,FL,"Jacksonville, FL",Clay County,306910.18558471143,-2.66,1630.459595959596,0.34,19565.515151515152,0.531,15.7,6.37,4.14,Moderate,8993,-1.06,236760,8.13,16.84,6.2,2.2,23.76,76727.54639617786,230182.6391885336,1570.2513653515005,-510,-6120,-7.12,2416,-0.88,FALSE,FALSE,51.9,FALSE,2026-02-28,2026-02-28
Norristown,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,327252.38814477314,1.09,1738.0270045484078,2.4,20856.324054580895,0.531,15.7,6.37,4.14,Moderate,36075,0.95,879190,2.6,7.92,4.35,5.68,28.27,81813.09703619329,245439.29110857984,1674.3286258807934,-545,-6540,-7.14,2576,-0.88,FALSE,FALSE,60.5,FALSE,2026-02-28,2026-02-28
Meriden,CT,"New Haven-Milford, CT",New Haven County,309933.76242593175,4.52,1644.0416666666667,1.68,19728.5,0.53,15.7,6.37,4.14,Moderate,60849,0.37,NA,NA,NA,NA,NA,NA,77483.44060648294,232450.32181944881,1585.7209583665583,-517,-6204,-7.15,2440,-0.88,FALSE,FALSE,57.9,FALSE,2026-02-28,2026-02-28
Zanesville,OH,"Zanesville, OH",Muskingum County,193424.7094471577,0.4,1027.7460317460318,0.32,12332.952380952382,0.531,15.7,6.38,4.14,Moderate,24916,0.57,86582,0.14,3.95,10.69,4.5,31.26,48356.17736178942,145068.53208536826,989.6231157120858,-322,-3864,-7.13,1522,-0.87,FALSE,FALSE,45.5,FALSE,2026-02-28,2026-02-28
Claremore,OK,"Tulsa, OK",Rogers County,254787.27648776656,-0.11,1350.8333333333333,1.99,16210,0.53,15.7,6.36,4.14,Moderate,20602,4.95,101371,6.25,10.63,7.71,3.64,22.22,63696.81912194164,191090.45736582493,1303.5737736005444,-426,-5112,-7.17,2005,-0.89,FALSE,FALSE,61,FALSE,2026-02-28,2026-02-28
Desert Hot Springs,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County,376907.5617606298,-3.86,2002.5530303030305,2.92,24030.636363636368,0.531,15.7,6.38,4.14,Moderate,33917,4.19,2529933,4.34,7.33,11.37,4.89,31.14,94226.89044015745,282680.6713204724,1928.380488051864,-627,-7524,-7.13,2967,-0.87,FALSE,FALSE,49.4,FALSE,2026-02-28,2026-02-28
Westfield,MA,"Springfield, MA",Hampden County,370014.58073868713,3.01,1961.5833333333333,NA,23539,0.53,15.7,6.36,4.14,Moderate,40403,0.58,464151,0.09,4.76,6.59,3.41,37.78,92503.64518467178,277510.93555401533,1893.113776911513,-618,-7416,-7.16,2912,-0.89,FALSE,FALSE,55.4,FALSE,2026-02-28,2026-02-28
College Park,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,431271.3944387434,-0.31,2291.640522875817,3.32,27499.686274509804,0.531,15.7,6.38,4.14,Moderate,34667,-0.13,NA,NA,NA,NA,NA,NA,107817.84860968585,323453.5458290576,2206.5233666465087,-717,-8604,-7.13,3395,-0.87,FALSE,FALSE,49.2,FALSE,2026-02-28,2026-02-28
Paris,TX,"Paris, TX",Lamar County,167584.36568025642,1.77,890,NA,10680,0.531,15.7,6.37,4.14,Moderate,25037,2.18,51249,2.22,3.88,11.82,6.95,34.17,41896.091420064105,125688.27426019232,857.4155938150019,-279,-3348,-7.13,1319,-0.88,FALSE,FALSE,50.6,FALSE,2026-02-28,2026-02-28
Navarre,FL,"Pensacola-Ferry Pass-Brent, FL",Santa Rosa County,410228.682621466,-0.21,2175.6864316239316,3.52,26108.23717948718,0.53,15.7,6.36,4.14,Moderate,NA,NA,207653,9.86,19.76,8.97,3.52,20.02,102557.1706553665,307671.5119660995,2098.8620751229732,-685,-8220,-7.16,3229,-0.89,FALSE,FALSE,65,FALSE,2026-02-28,2026-02-28
Florin,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County,413296.4595256482,-1.71,2193.4166666666665,NA,26321,0.531,15.7,6.37,4.14,Moderate,NA,NA,1611231,1.54,7.33,4.28,3.63,41.37,103324.11488141205,309972.34464423615,2114.557809897003,-689,-8268,-7.14,3253,-0.88,FALSE,FALSE,56.7,FALSE,2026-02-28,2026-02-28
Marquette,MI,"Marquette, MI",Marquette County,316557.4311325648,8.63,1678.690476190476,6.51,20144.28571428571,0.53,15.7,6.36,4.14,Moderate,21845,3.33,67979,2.16,7.52,16.89,4.13,28.77,79139.3577831412,237418.0733494236,1619.6097809561747,-528,-6336,-7.15,2492,-0.89,FALSE,FALSE,59.8,FALSE,2026-02-28,2026-02-28
Derby,KS,"Wichita, KS",Sedgwick County,278017.80325932987,1.12,1475.2222222222224,5.69,17702.666666666668,0.531,15.7,6.37,4.14,Moderate,26604,3.46,536081,2.14,7.39,9.2,6.89,37.72,69504.45081483247,208513.3524444974,1422.4286311263254,-464,-5568,-7.15,2188,-0.88,FALSE,FALSE,57.2,FALSE,2026-02-28,2026-02-28
Bella Vista,AR,"Fayetteville-Springdale-Rogers, AR",Benton County,355162.87474852573,2.06,1884.625,3.31,22615.5,0.531,15.7,6.37,4.14,Moderate,33274,10.12,321566,12.19,23.43,9.14,4.86,32.8,88790.71868713143,266372.1560613943,1817.127665325089,-592,-7104,-7.14,2796,-0.88,FALSE,FALSE,69.5,FALSE,2026-02-28,2026-02-28
Deridder,LA,"DeRidder, LA",Beauregard Parish,178419.37624548515,-0.81,946.388888888889,NA,11356.666666666668,0.53,15.7,6.37,4.14,Moderate,NA,NA,36695,0.24,-6.46,14.26,3.84,16.83,44604.84406137129,133814.53218411386,912.8509978281812,-298,-3576,-7.16,1404,-0.88,FALSE,FALSE,36.5,FALSE,2026-02-28,2026-02-28
Saint Albans,WV,"Charleston, WV",Kanawha County,146021.72873709744,-2.74,775,NA,9300,0.531,15.7,6.37,4.14,Moderate,NA,NA,173906,-3.5,0.74,15.03,9.26,29.83,36505.43218427436,109516.29655282307,747.094197879354,-243,-2916,-7.13,1149,-0.88,FALSE,FALSE,29.7,FALSE,2026-02-28,2026-02-28
Westbrook,ME,"Portland-South Portland, ME",Cumberland County,437915.38793219207,-0.48,2326.333333333333,NA,27915.999999999996,0.531,15.7,6.37,4.14,Moderate,21386,4.65,313809,3.36,8.17,14.2,3.63,29.63,109478.84698304802,328436.54094914405,2240.5161773920963,-728,-8736,-7.12,3447,-0.88,FALSE,FALSE,53,FALSE,2026-02-28,2026-02-28
Brandywine,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,500949.4618147256,0.11,2658.9166666666665,NA,31907,0.531,15.7,6.37,4.14,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,125237.3654536814,375712.0963610442,2563.0188026768997,-835,-10020,-7.14,3943,-0.88,FALSE,FALSE,54.1,FALSE,2026-02-28,2026-02-28
Willow Park,TX,"Dallas-Fort Worth-Arlington, TX",Parker County,413739.30433919496,-0.1,2198.246031746032,1.2,26378.95238095238,0.531,15.7,6.38,4.14,Moderate,6851,37.49,179707,20.16,32.26,7.74,10.08,17.92,103434.82608479874,310304.47825439624,2116.8235466036094,-688,-8256,-7.13,3257,-0.87,FALSE,FALSE,70.3,FALSE,2026-02-28,2026-02-28
Greensboro,NC,"Greensboro-High Point, NC",Guilford County,261036.04290450903,-0.26,1382.0036215890807,2.99,16584.04345906897,0.529,15.7,6.35,4.13,Moderate,307381,3.89,558816,3.72,9.05,8.49,6.32,40.04,65259.01072612726,195777.03217838178,1335.5444753188951,-437,-5244,-7.17,2055,-0.9,FALSE,FALSE,57.4,FALSE,2026-02-28,2026-02-28
Conway,AR,"Little Rock-North Little Rock-Conway, AR",Faulkner County,245903.4741456043,1.75,1301.408831908832,0.98,15616.905982905984,0.529,15.7,6.35,4.13,Moderate,70711,9.86,131611,6.29,10.35,7.56,4.49,38.42,61475.868536401074,184427.60560920322,1258.1213793415639,-412,-4944,-7.18,1936,-0.9,FALSE,FALSE,66.8,FALSE,2026-02-28,2026-02-28
Skokie,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,402994.52589463576,6.07,2134.310256410256,3.94,25611.723076923074,0.53,15.7,6.36,4.13,Moderate,65850,-2.72,5182617,-1.6,5.9,8.18,4.67,42.49,100748.63147365894,302245.8944209768,2061.8497991835793,-675,-8100,-7.18,3172,-0.89,FALSE,FALSE,51.4,FALSE,2026-02-28,2026-02-28
Plainfield,IN,"Indianapolis-Carmel-Anderson, IN",Hendricks County,327665.5630429072,0.47,1733.517094017094,3.9,20802.20512820513,0.529,15.8,6.35,4.13,Moderate,37796,8.3,190629,8.55,15.38,3.79,5.03,22.15,81916.3907607268,245749.1722821804,1676.442561743456,-550,-6600,-7.19,2579,-0.9,FALSE,FALSE,72.9,FALSE,2026-02-28,2026-02-28
